employee_id,job_title,department,education_level,location,seniority_level,gender,years_experience,performance_score,salary
10045,Data Scientist,IT,Master,Ariana,Junior,M,8,2.86,7770
10046,Mobile Developer,R&D,Master,Sousse,Mid,M,17,3.19,11177
10047,Data Scientist,Data,Master,Ariana,Junior,M,16,4.87,11041
10048,ML Engineer,IT,Bachelor,Ariana,Senior,M,0,4.62,8458
10049,Frontend Developer,IT,Bachelor,Ariana,Junior,M,11,3.98,7618
10050,DevOps Engineer,Engineering,PhD,Nabeul,Mid,M,3,3.5,9020
10051,Frontend Developer,R&D,Master,Nabeul,Senior,F,16,3.16,12630
10052,Mobile Developer,IT,Bachelor,Ariana,Mid,M,6,3.93,8579
10053,DevOps Engineer,IT,Bachelor,Tunis,Mid,M,2,3.83,7360
10054,ML Engineer,IT,Bachelor,Ariana,Senior,M,0,4.45,9050
10055,Mobile Developer,IT,Master,Sfax,Senior,M,18,4.82,15350
10056,Backend Developer,Data,Master,Ariana,Junior,F,1,3.32,4345
10057,Data Scientist,R&D,Bachelor,Nabeul,Mid,M,5,3.02,7663
10058,ML Engineer,Engineering,Master,Nabeul,Senior,M,10,3.51,11360
10059,Data Scientist,Engineering,Master,Sfax,Junior,M,3,3.59,6523
10060,QA Engineer,Data,Bachelor,Sfax,Junior,M,0,2.6,3427
10061,Backend Developer,R&D,Master,Sousse,Junior,M,10,4.65,8883
10062,Backend Developer,IT,Master,Tunis,Junior,M,15,4.99,9503
10063,ML Engineer,Data,Bachelor,Tunis,Mid,M,5,4.81,8567
10064,Backend Developer,R&D,Master,Tunis,Senior,M,10,4.65,12360
10065,DevOps Engineer,IT,Bachelor,Nabeul,Senior,M,7,4.98,10562
10066,Backend Developer,Data,Bachelor,Tunis,Senior,F,19,4.77,13546
10067,Data Scientist,R&D,Bachelor,Sousse,Junior,F,0,4.22,4436
10068,Data Scientist,Engineering,Bachelor,Sousse,Junior,F,13,2.92,6771
10069,Mobile Developer,Engineering,Bachelor,Tunis,Senior,F,1,2.89,7021
10070,Data Scientist,R&D,Bachelor,Sfax,Junior,M,5,2.62,5635
10071,Mobile Developer,Engineering,Master,Sousse,Junior,F,8,3.53,7815
10072,Data Scientist,R&D,Bachelor,Sfax,Senior,M,13,4.52,12719
10073,DevOps Engineer,IT,Master,Nabeul,Mid,M,7,3.73,8297
10074,Mobile Developer,R&D,Bachelor,Sousse,Junior,M,2,3.42,5761
10075,Frontend Developer,IT,PhD,Sfax,Senior,M,9,2.77,12394
10076,QA Engineer,Data,Master,Tunis,Senior,F,17,2.63,12432
10077,ML Engineer,R&D,Bachelor,Nabeul,Junior,M,19,3.5,9581
10078,Data Scientist,Data,Master,Ariana,Senior,M,8,2.75,10493
10079,Backend Developer,Engineering,Bachelor,Ariana,Junior,M,8,2.76,6623
10080,Data Scientist,IT,Master,Tunis,Mid,M,18,3.49,12107
10081,Backend Developer,R&D,Bachelor,Nabeul,Senior,M,12,3.76,11822
10082,QA Engineer,Data,Master,Nabeul,Senior,M,0,2.97,7982
10083,QA Engineer,IT,Master,Nabeul,Junior,M,16,4.21,9759
10084,QA Engineer,IT,Bachelor,Nabeul,Junior,F,3,3.55,4654
10085,Backend Developer,Engineering,Bachelor,Ariana,Junior,M,3,2.73,4633
10086,Data Scientist,Engineering,Master,Sfax,Mid,M,15,4.09,11963
10087,QA Engineer,IT,Bachelor,Nabeul,Junior,F,15,3.39,8487
10088,DevOps Engineer,IT,Bachelor,Sfax,Mid,F,14,2.63,9795
10089,Mobile Developer,R&D,Bachelor,Nabeul,Junior,M,5,4.87,7319
10090,Backend Developer,IT,Bachelor,Sousse,Mid,M,4,3.93,7978
10091,Backend Developer,R&D,PhD,Sousse,Junior,F,9,3.69,7458
10092,Data Scientist,IT,Bachelor,Sousse,Senior,M,6,4.65,10228
10093,Backend Developer,Engineering,Bachelor,Nabeul,Junior,M,6,4.84,6900
10094,Backend Developer,R&D,Master,Sfax,Junior,M,9,3.05,7826
10095,QA Engineer,Data,Master,Ariana,Senior,F,9,4.53,11139
10096,Data Scientist,Engineering,Bachelor,Tunis,Mid,F,14,4.58,11278
10097,QA Engineer,R&D,Bachelor,Ariana,Junior,F,5,2.64,4951
10098,Mobile Developer,R&D,PhD,Nabeul,Junior,M,1,4.28,6668
10099,Mobile Developer,Data,Master,Sousse,Mid,M,7,2.66,8625
10100,QA Engineer,R&D,Bachelor,Sousse,Junior,M,19,3.99,9956
10101,Mobile Developer,IT,Bachelor,Sfax,Senior,F,14,4.17,11145
10102,Data Scientist,Data,Bachelor,Nabeul,Mid,F,17,3.42,11361
10103,ML Engineer,Engineering,Bachelor,Ariana,Junior,M,4,4.7,6087
10104,QA Engineer,Engineering,Bachelor,Nabeul,Mid,F,3,4.5,7729
10105,DevOps Engineer,IT,Master,Nabeul,Mid,M,9,4.81,10252
10106,DevOps Engineer,Engineering,Bachelor,Sousse,Senior,M,18,3.29,12734
10107,Backend Developer,R&D,Master,Ariana,Junior,F,13,2.55,7520
10108,Mobile Developer,R&D,Bachelor,Tunis,Mid,M,12,4.53,9460
10109,DevOps Engineer,IT,Master,Sousse,Junior,M,9,3.06,7480
10110,Backend Developer,Engineering,Master,Ariana,Mid,M,5,3.67,8474
10111,ML Engineer,Engineering,Bachelor,Sfax,Senior,F,12,4.54,12375
10112,Data Scientist,IT,Bachelor,Sousse,Junior,F,10,3.04,6807
10113,Data Scientist,Data,Bachelor,Sfax,Senior,F,14,3.28,12094
10114,Data Scientist,Engineering,Master,Sousse,Mid,F,1,3.6,6409
10115,DevOps Engineer,Data,Master,Nabeul,Senior,M,14,3.18,12694
10116,ML Engineer,Engineering,Bachelor,Ariana,Senior,M,18,3.65,13522
10117,DevOps Engineer,Engineering,Bachelor,Sfax,Junior,F,16,2.52,8222
10118,Mobile Developer,Engineering,Bachelor,Sousse,Junior,M,19,3.03,9761
10119,DevOps Engineer,Engineering,Master,Sfax,Junior,F,17,4.58,10254
10120,ML Engineer,R&D,Bachelor,Sousse,Junior,F,5,3.53,5044
10121,ML Engineer,Data,Bachelor,Sousse,Mid,F,14,4.09,9586
10122,Mobile Developer,Data,Bachelor,Tunis,Mid,M,16,3.08,11027
10123,ML Engineer,Engineering,Bachelor,Tunis,Senior,M,8,4.12,10375
10124,ML Engineer,Engineering,Master,Tunis,Mid,F,11,5.0,10516
10125,Data Scientist,Data,Bachelor,Sfax,Senior,F,4,3.99,8784
10126,Mobile Developer,R&D,Master,Nabeul,Senior,F,13,4.07,12031
10127,Frontend Developer,IT,Bachelor,Sousse,Senior,M,7,2.78,8957
10128,Frontend Developer,IT,Bachelor,Ariana,Junior,M,16,3.51,9878
10129,ML Engineer,Data,Master,Tunis,Mid,F,8,4.65,8678
10130,Frontend Developer,Engineering,PhD,Sfax,Junior,F,2,4.59,7228
10131,Frontend Developer,Engineering,Master,Sfax,Junior,F,6,3.81,7419
10132,ML Engineer,R&D,Bachelor,Sfax,Junior,M,11,4.76,8468
10133,Frontend Developer,IT,Bachelor,Ariana,Senior,F,2,2.86,7845
10134,DevOps Engineer,R&D,Master,Ariana,Mid,M,8,4.15,9938
10135,Backend Developer,IT,Bachelor,Tunis,Mid,F,13,3.12,9256
10136,Mobile Developer,Data,Bachelor,Ariana,Senior,M,17,4.11,13711
10137,Backend Developer,IT,Master,Tunis,Junior,M,10,2.72,8355
10138,ML Engineer,R&D,Master,Ariana,Mid,F,3,4.86,8684
10139,Data Scientist,R&D,PhD,Ariana,Senior,M,7,4.47,11293
10140,Mobile Developer,R&D,PhD,Ariana,Junior,M,17,3.0,10947
10141,ML Engineer,Data,Master,Tunis,Mid,M,12,4.09,11551
10142,Data Scientist,IT,Bachelor,Sousse,Junior,F,3,4.4,5864
10143,Backend Developer,IT,Bachelor,Tunis,Senior,M,9,3.02,10873
10144,ML Engineer,R&D,Master,Sousse,Junior,M,7,2.73,6596
10145,Mobile Developer,IT,Bachelor,Sfax,Junior,F,11,3.38,7001
10146,Mobile Developer,Engineering,Bachelor,Sfax,Mid,M,18,2.84,11757
10147,QA Engineer,Engineering,Bachelor,Tunis,Junior,M,11,3.91,8263
10148,DevOps Engineer,Engineering,Bachelor,Sousse,Junior,M,1,3.56,4814
10149,Frontend Developer,IT,Master,Sousse,Mid,F,7,3.66,8737
10150,Data Scientist,Data,Bachelor,Sousse,Junior,M,12,3.86,8192
10151,QA Engineer,Data,Bachelor,Sfax,Mid,F,0,4.96,6678
10152,Frontend Developer,Data,Bachelor,Tunis,Mid,M,2,4.48,7526
10153,Frontend Developer,Data,Master,Nabeul,Mid,F,1,4.07,8990
10154,ML Engineer,Engineering,Bachelor,Sousse,Mid,F,19,3.41,10943
10155,Frontend Developer,Engineering,Bachelor,Sousse,Junior,M,7,2.57,5176
10156,DevOps Engineer,R&D,Master,Nabeul,Junior,M,2,2.79,5263
10157,Mobile Developer,IT,Bachelor,Tunis,Senior,F,14,4.33,12378
10158,QA Engineer,IT,Bachelor,Sousse,Senior,M,1,3.42,8661
10159,Frontend Developer,Data,Bachelor,Tunis,Junior,F,16,3.34,8079
10160,ML Engineer,Engineering,Bachelor,Sousse,Mid,M,5,4.72,8307
10161,DevOps Engineer,Data,PhD,Ariana,Mid,F,0,3.71,8073
10162,Backend Developer,R&D,Bachelor,Sousse,Mid,M,3,4.75,7898
10163,Mobile Developer,IT,Master,Ariana,Mid,F,18,4.72,12023
10164,Mobile Developer,IT,Bachelor,Tunis,Junior,M,6,2.7,5458
10165,QA Engineer,Data,Bachelor,Sousse,Mid,M,13,4.86,11516
10166,Mobile Developer,R&D,Master,Sfax,Junior,M,13,2.69,8392
10167,Frontend Developer,IT,Bachelor,Sfax,Mid,M,9,4.91,9746
10168,ML Engineer,R&D,Bachelor,Nabeul,Senior,M,6,3.63,9077
10169,Mobile Developer,R&D,Bachelor,Sfax,Mid,M,15,4.4,11001
10170,Mobile Developer,Data,Bachelor,Ariana,Junior,F,3,4.27,6900
10171,Backend Developer,Engineering,Master,Sfax,Senior,M,6,3.8,11664
10172,Backend Developer,Data,Bachelor,Sfax,Senior,F,14,4.05,12074
10173,Data Scientist,Engineering,Master,Sfax,Senior,M,16,4.87,14966
10174,DevOps Engineer,R&D,Master,Sousse,Mid,M,2,4.82,8812
10175,Frontend Developer,Engineering,Bachelor,Nabeul,Junior,M,15,4.14,10339
10176,Mobile Developer,R&D,Bachelor,Tunis,Senior,F,1,4.14,8690
10177,Mobile Developer,IT,Bachelor,Nabeul,Mid,F,6,3.12,8165
10178,ML Engineer,IT,Master,Ariana,Senior,M,15,4.57,12657
10179,Data Scientist,IT,Bachelor,Sousse,Junior,F,8,4.08,6977
10180,DevOps Engineer,Data,Master,Sousse,Junior,M,11,4.57,8786
10181,Data Scientist,Data,Bachelor,Sfax,Senior,M,0,4.14,8757
10182,QA Engineer,R&D,Master,Sfax,Mid,M,13,3.25,10988
10183,DevOps Engineer,IT,Bachelor,Ariana,Junior,M,10,2.97,7825
10184,Mobile Developer,Data,Master,Sousse,Junior,M,17,2.69,10261
10185,Mobile Developer,IT,Bachelor,Tunis,Mid,F,4,3.96,6693
10186,DevOps Engineer,Data,Bachelor,Nabeul,Junior,M,14,3.21,7460
10187,Mobile Developer,Engineering,Bachelor,Sousse,Mid,F,6,4.08,7921
10188,Frontend Developer,Engineering,Bachelor,Tunis,Mid,M,13,2.65,9972
10189,DevOps Engineer,IT,PhD,Tunis,Senior,M,19,3.44,15229
10190,Data Scientist,R&D,Bachelor,Nabeul,Junior,F,7,3.15,6026
10191,DevOps Engineer,Data,Bachelor,Tunis,Senior,F,3,3.43,8833
10192,Mobile Developer,Data,Master,Ariana,Junior,F,2,2.64,5523
10193,Frontend Developer,Engineering,Bachelor,Tunis,Mid,M,11,4.31,9984
10194,Frontend Developer,Engineering,Bachelor,Ariana,Junior,F,17,2.79,8905
10195,QA Engineer,R&D,Master,Tunis,Mid,F,14,2.54,10571
10196,Data Scientist,R&D,Bachelor,Sfax,Senior,M,10,4.87,11661
10197,Backend Developer,R&D,PhD,Tunis,Senior,M,10,2.98,12878
10198,Backend Developer,IT,Bachelor,Ariana,Mid,M,11,4.57,9494
10199,DevOps Engineer,Engineering,Bachelor,Tunis,Mid,M,18,4.91,13065
10200,QA Engineer,IT,Master,Tunis,Senior,M,16,3.84,14114
10201,ML Engineer,Engineering,Master,Tunis,Senior,F,5,3.82,11180
10202,DevOps Engineer,Engineering,Bachelor,Ariana,Senior,M,7,3.42,9281
10203,QA Engineer,Data,Master,Tunis,Junior,F,14,3.56,8802
10204,Data Scientist,Engineering,Bachelor,Nabeul,Senior,F,19,3.71,13401
10205,Data Scientist,Engineering,Bachelor,Nabeul,Junior,M,9,2.88,6933
10206,Data Scientist,IT,Master,Ariana,Junior,M,14,3.41,9079
10207,Data Scientist,Engineering,Bachelor,Sfax,Junior,M,11,4.54,8430
10208,Data Scientist,IT,Bachelor,Nabeul,Junior,F,10,2.96,7350
10209,QA Engineer,R&D,Master,Sousse,Senior,F,17,4.32,13806
10210,QA Engineer,Engineering,PhD,Nabeul,Senior,M,4,4.13,10409
10211,Frontend Developer,Engineering,Bachelor,Sousse,Senior,F,11,2.64,11359
10212,Backend Developer,IT,Bachelor,Ariana,Mid,M,4,2.56,6548
10213,Mobile Developer,R&D,Master,Sfax,Mid,F,9,3.38,8669
10214,Data Scientist,Data,PhD,Sousse,Mid,M,13,4.23,11603
10215,ML Engineer,R&D,Master,Sousse,Junior,M,15,3.33,9224
10216,Mobile Developer,IT,Bachelor,Nabeul,Senior,M,4,4.17,9751
10217,QA Engineer,R&D,Bachelor,Sousse,Mid,M,10,4.16,10892
10218,ML Engineer,IT,Bachelor,Ariana,Mid,M,18,4.52,11578
10219,ML Engineer,IT,Master,Ariana,Mid,F,7,2.75,8919
10220,ML Engineer,Data,Master,Ariana,Senior,M,18,3.94,15182
10221,Frontend Developer,Engineering,Master,Nabeul,Junior,F,19,2.66,9671
10222,QA Engineer,IT,PhD,Sfax,Junior,M,17,2.94,10527
10223,ML Engineer,IT,Bachelor,Nabeul,Senior,F,11,3.31,10853
10224,Data Scientist,Data,Bachelor,Ariana,Mid,F,12,4.27,9580
10225,DevOps Engineer,IT,Bachelor,Nabeul,Senior,F,17,4.93,12363
10226,ML Engineer,Engineering,Bachelor,Ariana,Junior,M,14,3.36,9144
10227,Frontend Developer,Data,Bachelor,Tunis,Junior,M,14,3.8,8789
10228,Mobile Developer,Engineering,Bachelor,Tunis,Senior,F,11,3.15,10330
10229,QA Engineer,Engineering,Master,Sousse,Mid,M,8,4.19,9822
10230,Frontend Developer,Data,Master,Sfax,Mid,M,18,3.42,12063
10231,ML Engineer,IT,Bachelor,Tunis,Junior,M,11,3.7,8111
10232,QA Engineer,Engineering,Bachelor,Ariana,Junior,F,4,3.92,5126
10233,DevOps Engineer,Engineering,Bachelor,Nabeul,Mid,F,19,4.22,11552
10234,ML Engineer,Engineering,Master,Nabeul,Junior,F,9,2.65,7149
10235,Frontend Developer,Engineering,Master,Sousse,Senior,M,6,3.89,9835
10236,Backend Developer,Data,Master,Nabeul,Senior,M,10,3.58,11646
10237,Data Scientist,Data,Bachelor,Tunis,Junior,F,7,2.83,5472
10238,Mobile Developer,R&D,Bachelor,Nabeul,Mid,M,6,3.02,8145
10239,Frontend Developer,R&D,Bachelor,Tunis,Mid,M,15,4.71,11414
10240,QA Engineer,Engineering,Master,Tunis,Junior,M,15,4.68,10908
10241,ML Engineer,IT,Master,Sfax,Junior,M,13,2.58,7551
10242,Data Scientist,Engineering,Master,Sousse,Mid,M,14,4.22,11232
10243,ML Engineer,IT,Bachelor,Ariana,Mid,M,19,3.89,12057
10244,QA Engineer,Engineering,Master,Tunis,Mid,M,8,4.85,10853
10245,ML Engineer,R&D,PhD,Sousse,Mid,M,15,4.77,12270
10246,Backend Developer,R&D,Bachelor,Ariana,Senior,F,15,3.95,11770
10247,Data Scientist,IT,Bachelor,Nabeul,Senior,M,4,2.85,9544
10248,Data Scientist,Engineering,PhD,Sousse,Mid,M,2,3.65,9719
10249,QA Engineer,IT,Bachelor,Sousse,Senior,F,12,4.31,12383
10250,Mobile Developer,R&D,PhD,Sousse,Junior,F,7,4.88,9301
10251,Backend Developer,Engineering,PhD,Nabeul,Senior,M,16,3.41,14271
10252,Frontend Developer,Engineering,Master,Nabeul,Mid,F,4,4.46,8539
10253,ML Engineer,IT,Master,Sousse,Senior,M,5,4.21,11666
10254,DevOps Engineer,Data,Master,Sfax,Mid,M,1,2.7,6902
10255,ML Engineer,IT,Master,Tunis,Junior,M,13,3.89,8774
10256,ML Engineer,R&D,Bachelor,Nabeul,Mid,M,3,2.96,7109
10257,Frontend Developer,R&D,Bachelor,Sfax,Junior,F,2,4.21,4995
10258,ML Engineer,R&D,Bachelor,Nabeul,Mid,M,8,4.03,8572
10259,Backend Developer,R&D,Master,Sousse,Mid,M,17,4.93,13196
10260,Backend Developer,R&D,Bachelor,Sfax,Senior,F,11,4.84,11416
10261,Data Scientist,Data,Bachelor,Ariana,Mid,M,8,2.52,8218
10262,QA Engineer,Engineering,Bachelor,Tunis,Mid,F,17,2.7,10615
10263,Mobile Developer,IT,Master,Tunis,Junior,F,12,4.42,8008
10264,DevOps Engineer,IT,PhD,Nabeul,Senior,M,13,4.21,14275
10265,ML Engineer,R&D,PhD,Tunis,Senior,F,9,4.5,13445
10266,ML Engineer,IT,Bachelor,Ariana,Senior,M,2,3.17,9143
10267,Frontend Developer,R&D,Master,Sfax,Junior,M,6,4.62,5924
10268,QA Engineer,Data,Master,Sfax,Mid,M,17,3.61,12158
10269,Backend Developer,Data,Bachelor,Sousse,Junior,F,15,3.15,7303
10270,DevOps Engineer,Engineering,Master,Sfax,Mid,F,16,2.53,11368
10271,Data Scientist,Data,Bachelor,Nabeul,Junior,M,5,4.68,7272
10272,Backend Developer,Data,PhD,Ariana,Mid,M,11,3.84,11378
10273,QA Engineer,Engineering,Bachelor,Sousse,Mid,M,18,4.94,10935
10274,Mobile Developer,IT,Bachelor,Nabeul,Junior,F,2,4.29,5224
10275,Data Scientist,R&D,Master,Nabeul,Mid,F,2,2.7,6384
10276,Mobile Developer,R&D,Bachelor,Nabeul,Senior,F,17,3.97,12812
10277,Frontend Developer,IT,Bachelor,Tunis,Junior,F,10,2.54,6489
10278,Frontend Developer,Engineering,Master,Nabeul,Senior,M,5,3.89,11060
10279,ML Engineer,IT,Bachelor,Tunis,Junior,M,18,3.38,9519
10280,Mobile Developer,Data,Master,Sfax,Junior,M,4,4.11,7716
10281,QA Engineer,Engineering,Bachelor,Tunis,Junior,F,12,3.85,7976
10282,DevOps Engineer,Engineering,Master,Nabeul,Senior,M,4,3.15,9589
10283,Data Scientist,Engineering,Master,Ariana,Mid,M,2,2.91,7416
10284,Backend Developer,R&D,Bachelor,Ariana,Senior,F,18,3.51,13414
10285,QA Engineer,IT,Master,Sfax,Mid,F,16,4.97,12823
10286,QA Engineer,Engineering,Master,Nabeul,Junior,M,2,3.59,4696
10287,Frontend Developer,Engineering,Master,Tunis,Mid,F,14,4.37,10625
10288,Mobile Developer,Engineering,Master,Ariana,Junior,F,16,2.64,8718
10289,ML Engineer,IT,Master,Sousse,Senior,M,12,3.45,12960
10290,ML Engineer,R&D,Bachelor,Nabeul,Junior,M,13,3.95,9141
10291,Data Scientist,Data,Bachelor,Nabeul,Junior,M,15,4.38,9811
10292,Frontend Developer,R&D,PhD,Sousse,Senior,M,10,3.82,13168
10293,QA Engineer,Engineering,Bachelor,Ariana,Senior,F,16,3.79,13220
10294,DevOps Engineer,R&D,Bachelor,Sousse,Junior,M,4,4.41,6525
10295,Frontend Developer,R&D,Bachelor,Sfax,Senior,M,14,3.28,12468
10296,Data Scientist,Data,Bachelor,Tunis,Junior,M,17,2.73,9177
10297,Data Scientist,IT,Bachelor,Tunis,Senior,M,15,3.37,12781
10298,Frontend Developer,IT,PhD,Ariana,Mid,M,13,2.9,10992
10299,Data Scientist,R&D,Bachelor,Sousse,Junior,F,13,4.91,8206
10300,Frontend Developer,R&D,Bachelor,Nabeul,Junior,M,12,3.94,7897
10301,Backend Developer,IT,PhD,Nabeul,Junior,F,0,3.62,5653
10302,Frontend Developer,IT,PhD,Nabeul,Junior,F,5,4.78,8236
10303,Mobile Developer,Data,Bachelor,Sfax,Junior,M,10,4.75,8937
10304,Frontend Developer,Engineering,Bachelor,Sfax,Mid,F,10,3.54,8544
10305,Data Scientist,R&D,Master,Nabeul,Senior,F,15,4.69,14643
10306,Mobile Developer,IT,Master,Ariana,Junior,M,2,2.66,5411
10307,Data Scientist,R&D,Master,Sfax,Mid,M,16,4.71,12380
10308,ML Engineer,R&D,Master,Sfax,Mid,F,13,3.28,10487
10309,ML Engineer,IT,Master,Tunis,Senior,F,1,3.91,8715
10310,Mobile Developer,Data,Bachelor,Tunis,Mid,M,8,3.17,8233
10311,Backend Developer,R&D,Master,Ariana,Mid,M,7,4.96,9835
10312,ML Engineer,Data,Bachelor,Sfax,Mid,M,10,2.68,8186
10313,Frontend Developer,IT,Master,Sfax,Junior,M,6,3.62,6761
10314,Data Scientist,Engineering,Master,Sousse,Junior,M,1,4.05,5968
10315,ML Engineer,Engineering,Bachelor,Ariana,Mid,M,3,4.04,7358
10316,ML Engineer,R&D,Bachelor,Ariana,Junior,M,13,4.35,8408
10317,Backend Developer,IT,Bachelor,Sousse,Mid,M,12,4.31,10743
10318,Mobile Developer,Data,Bachelor,Sousse,Junior,M,12,4.48,7648
10319,Mobile Developer,R&D,Master,Tunis,Mid,M,12,3.09,10652
10320,QA Engineer,IT,Bachelor,Ariana,Junior,M,4,3.43,5781
10321,Backend Developer,IT,Master,Ariana,Senior,M,11,3.46,12124
10322,Frontend Developer,Data,Bachelor,Sousse,Senior,F,5,4.89,9275
10323,Mobile Developer,R&D,Master,Nabeul,Junior,F,13,3.52,8398
10324,Data Scientist,IT,Master,Nabeul,Junior,M,7,3.05,7333
10325,Backend Developer,IT,Master,Tunis,Mid,M,7,4.08,9233
10326,ML Engineer,IT,Bachelor,Nabeul,Junior,M,6,3.57,5575
10327,Data Scientist,Data,PhD,Nabeul,Junior,M,16,3.13,10266
10328,Data Scientist,R&D,Bachelor,Nabeul,Junior,M,10,4.29,7764
10329,ML Engineer,R&D,Bachelor,Sfax,Senior,M,9,2.98,10723
10330,Backend Developer,R&D,Bachelor,Tunis,Senior,F,12,4.08,11971
10331,ML Engineer,R&D,Bachelor,Sousse,Mid,M,9,3.58,9058
10332,QA Engineer,Engineering,PhD,Nabeul,Mid,M,13,3.3,11673
10333,Data Scientist,Engineering,Bachelor,Sfax,Senior,F,8,4.86,11240
10334,DevOps Engineer,R&D,Master,Nabeul,Senior,F,6,3.31,10006
10335,DevOps Engineer,Data,Master,Sfax,Senior,M,6,3.37,10804
10336,Frontend Developer,Engineering,Bachelor,Tunis,Junior,M,17,4.68,9324
10337,Mobile Developer,IT,Master,Nabeul,Junior,M,15,2.82,8969
10338,ML Engineer,Engineering,Bachelor,Sfax,Mid,M,7,2.77,8840
10339,ML Engineer,IT,Bachelor,Ariana,Mid,M,15,3.21,10977
10340,Frontend Developer,R&D,Bachelor,Ariana,Junior,M,18,3.98,10346
10341,Frontend Developer,Engineering,PhD,Sfax,Junior,M,14,3.46,9579
10342,Frontend Developer,Data,PhD,Nabeul,Senior,F,14,4.02,12669
10343,Data Scientist,Engineering,Bachelor,Nabeul,Senior,F,5,2.9,8315
10344,QA Engineer,Engineering,Bachelor,Tunis,Junior,M,8,3.15,6724
10345,ML Engineer,Engineering,Master,Tunis,Senior,M,14,3.91,13336
10346,Data Scientist,R&D,Bachelor,Sousse,Mid,M,6,3.04,8644
10347,Frontend Developer,Data,Master,Tunis,Senior,M,7,3.56,10315
10348,ML Engineer,Engineering,Master,Nabeul,Mid,M,17,3.93,11938
10349,Data Scientist,Data,Bachelor,Sousse,Junior,F,15,4.93,10027
10350,QA Engineer,R&D,Master,Tunis,Mid,F,14,2.7,9510
10351,Data Scientist,IT,Bachelor,Sfax,Mid,F,2,3.65,6777
10352,QA Engineer,Engineering,PhD,Ariana,Mid,F,0,3.49,6557
10353,Frontend Developer,Data,PhD,Tunis,Junior,F,12,4.56,9494
